Name,Address,City,Zipcode,Average Review Score,Total Review Count,Latitude,Longitude
"Downtown Views I Burj Khalifa View, Downtown Dubai - Mint Stay","Dubai, ARE",Dubai,None,10,1,25.201171,55.280844
Lovely Studio with Cozy Balcony and Outdoor Pool,"Dubai, ARE",Dubai,None,10,1,25.208667,55.3154
Master Room,"Dubai, ARE",Dubai,None,10,1,25.101325,55.178182
Luxury Two-Bedroom with Canal View,"Dubai, ARE",Dubai,None,10,1,25.180326,55.251907
OH WOW! Jaw-Dropping Offer - Amazing Studio in JVC,"Dubai, ARE",Dubai,None,10,1,25.051509,55.217073
Opulent Studio in Safir Tower 1 Business Bay by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.177136,55.271058
Marina Sky Garden with private pool,"Dubai, ARE",Dubai,None,10,1,25.077228,55.135428
Unparalleled 1BR with Captivating Full Marina View - 31AB2,"Dubai, ARE",Dubai,None,10,1,25.071406,55.124939
2005 - Modern 3BR Apt- Burj Views,"Dubai, ARE",Dubai,None,10,1,25.178447,55.30862
"Luke Stays - Rimal 3, Jumeirah Beach Residence","Dubai, ARE",Dubai,None,10,1,25.077709,55.133979
Elegant 1BR Full Palm View Apartment at 5 Star Resort,"Dubai, ARE",Dubai,None,10,1,25.127637,55.154027
Silkhaus in Bay Central Near Metro,"Dubai, ARE",Dubai,None,10,1,25.078664,55.137533
Avatar Living One Bedroom Apartment with beautiful view Marina & JBR,"Dubai, ARE",Dubai,None,10,1,25.080913,55.140786
GuestReady - Skyline Splendor with Ain Dubai View,"Dubai, ARE",Dubai,None,10,1,25.071374,55.124944
the971stay,"Dubai, ARE",Dubai,None,10,1,25.081312,55.138438
Midtown Retreat Relaxing One Bed in Dubai,"Dubai, ARE",Dubai,None,10,1,25.025647,55.182678
Beautiful 1BHK With City View in Zada Tower,"Dubai, ARE",Dubai,None,10,1,25.184475,55.261737
Shams 1 - Spacious One Bedroom,"Dubai, ARE",Dubai,None,10,1,25.072485,55.130808
Urban Panda Beach Hostel JBR,"Dubai, ARE",Dubai,None,10,3,25.079924,55.137981
Spacious waterfront 1 BR at District One,"Dubai, ARE",Dubai,None,10,1,25.166376,55.276657
Brand New 2 BHK in Burj Royale,"Dubai, ARE",Dubai,None,10,1,25.191563,55.28048
Spectacular 3BR Townhouse with Assistant Room and Private Pool at DAMAC Hills 2 Dubailand by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,24.996068,55.398401
Beach Isle Tower 1 - Vacationer,"Dubai, ARE",Dubai,None,10,1,25.099042,55.14022
Stunning Furnished Studio,"Dubai, ARE",Dubai,None,10,1,25.081983,55.138915
"Luxury New Studio with Pool & Gym Access, 5 min from Gardens Metro","Dubai, ARE",Dubai,None,10,1,25.039992,55.139087
"Frond K, Beachfront Villa, Palm Jumeirah - Mint Stay","Dubai, ARE",Dubai,None,10,1,25.118749,55.120884
Deluxe Apartment With Panoramic View Near Metro,"Dubai, ARE",Dubai,None,10,1,25.184593,55.258552
"Primestay - Bay Central 1BR, Dubai Marina","Dubai, ARE",Dubai,None,10,1,25.078611,55.137778
Serene Sea View 2BR in Fairmont North Residence,"Dubai, ARE",Dubai,None,10,1,25.111107,55.139717
"Silkhaus Sea View 1BDR in Marina Vista, near Marina","Dubai, ARE",Dubai,None,10,1,25.098358,55.14074
Stay in Beach front - Dubai Marina - 1BR - KeyRock Living,"Dubai, ARE",Dubai,None,10,1,25.101149,55.142199
Amal villa by escape time,"Dubai, ARE",Dubai,None,10,1,24.978206,55.383786
VayK - Modern 2BD in the Marina near Beach,"Dubai, ARE",Dubai,None,10,1,25.090126,55.15033
Maison Privee - Stunning JBR Retreat w/ Partial Sea & Marina Views,"Dubai, ARE",Dubai,None,10,1,25.073051,55.128157
Exclusive Paramount Apt D546,"Dubai, ARE",Dubai,None,10,2,25.186179,55.292027
Luxurious 3-Bedroom Apartment Facing Burj Khalifa in The Address Dubai Opera,"Dubai, ARE",Dubai,None,10,1,25.192853,55.278965
Cozy One Bedroom Near Dubai Hills Mall,"Dubai, ARE",Dubai,None,10,1,25.099481,55.24436
Extra Spacious 3BD with Full Marina View,"Dubai, ARE",Dubai,None,10,1,25.071575,55.134436
"Bay Central, Central Tower - Vacationer","Dubai, ARE",Dubai,None,10,1,25.0787,55.1375
Downtown - Burj Khalifa Facing - 2 Bed Luxe Apartment,"Dubai, ARE",Dubai,None,10,1,25.202262,55.280266
Private Beach Heaven-Modern 2Bed,"Dubai, ARE",Dubai,None,10,1,25.079577,55.13465
Spacious Studio Apartment in Hyatt Regency Dubai Creek Heights by the S Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.23478,55.323239
"City Walk Building 2B - Al Wasl, Jumeirah - Mint Stay","Dubai, ARE",Dubai,None,10,1,25.205848,55.264984
Homes2retreat Beverly residency luxury furnished,"Dubai, ARE",Dubai,None,10,1,25.04968,55.214736
Single room with window near metro,"Dubai, ARE",Dubai,None,10,1,25.224958,55.429883
Studio JBR Dubai Marina 3 min to Beach,"Dubai, ARE",Dubai,None,8.3,3,25.075831,55.132854
Cozy 1 Bedroom apartment in Dubai by Al Ghaimah Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.276571,55.370265
Luxurious 4 Bedroom Duplex with terrace & sea view,"Dubai, ARE",Dubai,None,7.5,2,25.077685,55.13417
Livbnb Downtown Suites - 1BR Gem in Dunya Tower,"Dubai, ARE",Dubai,None,10,1,25.194644,55.283308
Luxurious 1-bedroom With Skyline View In Downtown Views Ii,"Dubai, ARE",Dubai,None,10,1,25.202429,55.280933
Homey 1 Bedroom with Relaxing Zabeel Park View,"Dubai, ARE",Dubai,None,10,1,25.232779,55.295377
Brand New l Stylish and Spacious 2BR in Madinat Jumeirah,"Dubai, ARE",Dubai,None,10,1,25.13203,55.190614
Green living chic 1 bedroom apartment,"Dubai, ARE",Dubai,None,10,1,25.191616,55.279339
LUX The Burj Khalifa View Garden Suite,"Dubai, ARE",Dubai,None,10,1,25.191856,55.278199
Chic 1BR in Park Heights 2 - Dubai Hills,"Dubai, ARE",Dubai,None,10,1,25.113351,55.247789
WelHome - Breathtaking 1BR Apartment Shoreline The Palm,"Dubai, ARE",Dubai,None,10,1,25.110205,55.146939
Manzil - Stylish 2BR in Palm Jumeirah W Beach View,"Dubai, ARE",Dubai,None,10,1,25.098785,55.140187
Tranquil 2 BR Suite in Bluewaters by Livbnb,"Dubai, ARE",Dubai,None,10,1,25.07934,55.121466
StoneTree - Modern 1BR near Dubai Marina Mall,"Dubai, ARE",Dubai,None,10,1,25.075234,55.138461
Silkhaus Sea and City View 1BDR in Marina Vista,"Dubai, ARE",Dubai,None,10,1,25.098358,55.14074
Burj Khalifa view Lux 3 bedroom by Tanami Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.202256,55.281046
NEW Studio! With Epic Amenities 8 min to DubaiMall,"Dubai, ARE",Dubai,None,10,1,25.186368,55.286523
"Bluewaters Residences - Sea View, Bluewaters Island - Mint Stay","Dubai, ARE",Dubai,None,10,1,25.077967,55.122911
Address l Cozy Unit l Spacious,"Dubai, ARE",Dubai,None,10,1,25.072963,55.126492
White Sage - Elegant Apartment With Unobstructed City Views,"Dubai, ARE",Dubai,None,10,1,25.179484,55.304437
Lux BnB Travo Tower I Private Garden I Lake View,"Dubai, ARE",Dubai,None,10,1,25.090978,55.171841
Spacious Studio In Jlt I Private Swimming Pool,"Dubai, ARE",Dubai,None,10,1,25.076331,55.145493
Spacious 3 bedroom plus maid room chic and unique in business bay,"Dubai, ARE",Dubai,None,10,1,25.180435,55.270138
5 Star One bedroom - Seven Hotel & Apartment - West beach at The Palm Jumeirah-With Privet beach,"Dubai, ARE",Dubai,None,9.5,2,25.111788,55.138364
Luxurious Studio in Elite with Canal View,"Dubai, ARE",Dubai,None,10,1,25.186162,55.278196
LUX The Downtown Zabeel View Suite 2,"Dubai, ARE",Dubai,None,10,1,25.202429,55.280934
Diamond 2BR Apt,"Dubai, ARE",Dubai,None,10,1,25.221537,55.272483
Beautiful 1BR Apt with city views at silicon Dubai,"Dubai, ARE",Dubai,None,10,1,25.116962,55.391183
EasyGo - Polo Residence 1 Bedroom Community View,"Dubai, ARE",Dubai,None,10,1,25.150366,55.29564
"Ravishing 3BR Apartment with Assistant Room in Downtown Views I, Downtown Dubai by Deluxe Holiday Homes","Dubai, ARE",Dubai,None,10,1,25.200923,55.280834
"Livbnb - 1BR in Dubai Marina, Next to Marina Mall","Dubai, ARE",Dubai,None,10,1,25.081193,55.146249
Spacious Studio Near Dubai Mall & Burj Khalifa,"Dubai, ARE",Dubai,None,10,1,25.188816,55.281913
Eagles Nest !Fabulous 1 Bed Apartment!,"Dubai, ARE",Dubai,None,10,1,25.178802,55.312577
Inviting 2BR Apartment - Only 10 Mins to Downtown - Sobha Creek Vista Reserve,"Dubai, ARE",Dubai,None,10,1,25.17944,55.305652
Signature Villa in Palm - B100,"Dubai, ARE",Dubai,None,10,1,25.123424,55.143703
FULLY FURNISHED 2-BEDROOM APARTMENT IN DUBAI MARINA,"Dubai, ARE",Dubai,None,10,1,25.069534,55.134844
LUX The Stunning Fountain View Suite,"Dubai, ARE",Dubai,None,10,1,25.192212,55.273918
Frank Porter - Bay Central 1,"Dubai, ARE",Dubai,None,10,1,25.078664,55.137533
Frank Porter - Oxford 212,"Dubai, ARE",Dubai,None,10,1,25.067377,55.206613
"Chic Studio / Prime Business Bay Location / Spacious Balcony / New Building / Perfect for Solo Travelers, Busy Professionals, Couples","Dubai, ARE",Dubai,None,10,1,25.184828,55.260322
Upscale 1 bed apartment in Business Bay-Suiteable,"Dubai, ARE",Dubai,None,10,1,25.18431,55.275516
The Smart Concierge - Time Place,"Dubai, ARE",Dubai,None,10,1,25.080527,55.144296
Luxury Apartment Burj Khalifa View,"Dubai, ARE",Dubai,None,10,1,25.194253,55.269468
VayK - Magnificent 5 BD Villa with Private Pool,"Dubai, ARE",Dubai,None,10,1,25.05526,55.164109
The Point - Vacationer,"Dubai, ARE",Dubai,None,10,1,25.072786,55.132626
White Sage - Fancy Studio With Mesmerizing Canal Views,"Dubai, ARE",Dubai,None,10,1,25.18431,55.275516
Luxury beach house with mesmerizing skyline view,"Dubai, ARE",Dubai,None,10,1,25.097519,55.139993
Le Petit Village !Cozy Yet Spacious Studio Apartment!,"Dubai, ARE",Dubai,None,10,1,25.051509,55.217073
Silkhaus Modern 1BDR in Creek Harbour Bayshore,"Dubai, ARE",Dubai,None,10,1,25.201269,55.348527
Mesmerizing view of Burj Khalifa,"Dubai, ARE",Dubai,None,10,2,25.191563,55.28048
3 Bedroom Apartment with Super High Infinity Pool and amazing Burj Khalifa View in Paramount Hotel Midtown,"Dubai, ARE",Dubai,None,10,1,25.193438,55.265437
cozy one bedroom apartment,"Dubai, ARE",Dubai,None,10,1,25.187106,55.283116
Penthouse with private pool and maid service,"Dubai, ARE",Dubai,None,10,1,25.07666,55.134105
Budget private rooms in Mirdif,"Dubai, ARE",Dubai,None,10,1,25.22981,55.424684
Pristine 2BR with Assistants Room at The Address Residences in JBR by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.072583,55.126568
"Boho Style 1 Bdr With Huge Terrace, Lux Pool &gym","Dubai, ARE",Dubai,None,10,1,25.050218,55.213528
"Incredible 1BR apartment, Downtown Views II by Rich Stay","Dubai, ARE",Dubai,None,10,1,25.202773,55.281334
Majestic 1BR at The Address Residences Dubai Marina by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.07717,55.140538
GuestReady - Charming luxury at Burj Royale,"Dubai, ARE",Dubai,None,10,1,25.191683,55.280176
Sound of the Waves in JBR by Lagom,"Dubai, ARE",Dubai,None,10,1,25.081916,55.140381
Picturesque Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.025011,55.183481
Primestay - Meydan - Sobha Waves,"Dubai, ARE",Dubai,None,10,1,25.175439,55.309197
MAYA LUX HOMES,"Dubai, ARE",Dubai,None,10,1,25.082438,55.139864
GuestReady - Lux interiors in Dubai Marina,"Dubai, ARE",Dubai,None,10,1,25.087954,55.148953
Onyx Studio with Fantastic Pool View in JVC,"Dubai, ARE",Dubai,None,10,1,25.058892,55.199577
Vogue Burj Crown Burj Khalifa & Foutain Views,"Dubai, ARE",Dubai,None,10,1,25.192853,55.278965
City Chic 2br Wspacious Balcony Next To Metro,"Dubai, ARE",Dubai,None,10,1,25.07024,55.141078
Frank Porter - Zada Tower,"Dubai, ARE",Dubai,None,10,1,25.184378,55.261736
Frank Porter - Saba 3,"Dubai, ARE",Dubai,None,10,1,25.075518,55.145341
Cozy Shared Apartment Room At Heart Of Sharjah,"Sharjah, ARE",Sharjah,None,10,1,25.316314,55.451597
Breathtaking 2BR W/180 Degree Views - Dubai Marina,"Dubai, ARE",Dubai,None,10,1,25.0855,55.149432
Splendid 3BR/Stella Maris/Dubai Marina/Rich Stay,"Dubai, ARE",Dubai,None,10,1,25.070383,55.132755
"1 Minute Walk to Dubai Mall, 2 Bedroom Luxe Apartment in Elite Building with Pool and Gym","Dubai, ARE",Dubai,None,10,1,25.195255,55.282405
Brand New One Bedroom with Beach Access,"Dubai, ARE",Dubai,None,10,1,25.080454,55.134656
Nasma Luxury Stays - Burj Royale 2BR Apartment in Downtown With Views,"Dubai, ARE",Dubai,None,10,1,25.19168,55.280175
Bellavista - High Floor - 1BR - 29 Boulevard - Burj Khalifa & Fountain View,"Dubai, ARE",Dubai,None,10,1,25.192008,55.272452
Fully Equipped Cozy Studio in the heart of JVC,"Dubai, ARE",Dubai,None,10,1,25.065898,55.206829
The Smart Concierge - Rimal 3,"Dubai, ARE",Dubai,None,10,1,25.077708,55.133969
Incredible Fountain Views 2.5 BR Burj Residences,"Dubai, ARE",Dubai,None,9,2,25.192635,55.274031
Oraya - Apt. With Skyline and Garden View Along With City,"Dubai, ARE",Dubai,None,10,1,25.114441,55.247872
Bright 1BR with sea view and balcony,"Dubai, ARE",Dubai,None,10,1,25.069104,55.128973
NEW! Luxurious 3 Bed with balcony in Dubai Hills,"Dubai, ARE",Dubai,None,10,1,25.10992,55.244385
OMO! Insane Deal! Studio near Me'aisem City Center,"Dubai, ARE",Dubai,None,10,1,25.031622,55.193024
"Spacious 4-bedroom villa, children friendly","Dubai, ARE",Dubai,None,10,1,25.114659,55.382005
Stunning studio with Balcony in Arjan,"Dubai, ARE",Dubai,None,10,1,25.064263,55.243093
Silkhaus modern 1BDR in Downtown premium tower,"Dubai, ARE",Dubai,None,10,1,25.19168,55.280175
"Private Room in Bright & Cozy Apt Near Downtown, Near Metro, Pool, Gym","Dubai, ARE",Dubai,None,10,1,25.225214,55.329067
Palace Dubai Creek Harbour Residence,"Dubai, ARE",Dubai,None,10,1,25.204049,55.347113
Amazing sea view apartment in JBR,"Dubai, ARE",Dubai,None,10,1,25.08107,55.137497
TWO BEDROOM VACATION HOME AT SHARJAH DUBAI BOARDER BY MAUON.COM,"Sharjah, ARE",Sharjah,None,10,1,25.301791,55.375796
Silkhaus Luxury 1BDR Dubai Hills Pool & Gym,"Dubai, ARE",Dubai,None,10,1,25.114898,55.247615
"Luxurious and Radiant, Located in Marina Wharf II","Dubai, ARE",Dubai,None,10,1,25.072319,55.132407
Luxurious Flat 3min To Burj Khalifasleeps 3!,"Dubai, ARE",Dubai,None,10,1,25.188802,55.281916
"Palace Residences, Dubai Creek Harbour","Dubai, ARE",Dubai,None,10,1,25.204322,55.347468
Stylish 1BR in Park Heights 2 - Dubai Hills,"Dubai, ARE",Dubai,None,10,1,25.113332,55.247799
Primestay - Pacifica 4BR Villa in Akoya Oxygen,"Dubai, ARE",Dubai,None,10,1,24.987423,55.374084
Breathtaking Marina view apartment in Al Murjan,"Dubai, ARE",Dubai,None,10,1,25.085446,55.149308
Primestay - Index Tower 1Br in DIFC,"Dubai, ARE",Dubai,None,10,1,25.207581,55.278128
Frank Poretr - 15 Northside,"Dubai, ARE",Dubai,None,10,1,25.186263,55.286478
Rare Holiday Homes - Balcony with partially Sea View - Studio One - Dubai Marina,"Dubai, ARE",Dubai,None,10,1,25.069009,55.129171
"Luton Vacation Homes - Full Sea and Palm View & Modern 2BR - Emaar Beachfront , Beach Vista, Dubai Harbour - 17AB06","Dubai, ARE",Dubai,None,10,1,25.098128,55.139763
Opulent 1BR at MAG 218 Dubai Marina by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.087964,55.14895
Key View - Marina Gate 1,"Dubai, ARE",Dubai,None,10,1,25.086793,55.147551
Authentic 2 bdr in Anantara Resort Palm Jumeirah,"Dubai, ARE",Dubai,None,10,1,25.131325,55.152996
Stylish 2 BR with Sea View & Sunset View by Livbnb,"Dubai, ARE",Dubai,None,10,1,25.083155,55.140903
Burj Royale-Enchanting Burj&Fountain full view Sky APT 3+1BR,"Dubai, ARE",Dubai,None,10,1,25.191596,55.28019
5242 Dubai Marina l Spectacular View of Dubai Eye l Close to Beach and Blue Water island l New Luxury Building With Great Pool,"Dubai, ARE",Dubai,None,10,1,25.071441,55.125116
Paramount High Floor 1 bedroom apt,"Dubai, ARE",Dubai,None,10,1,25.185944,55.29202
A 3bedroom Luxe Apartment in Downtown Dubai,"Dubai, ARE",Dubai,None,10,1,25.195256,55.269927
"Chic 2-BR Apt with Burj Views At Downtown Views II , Direct Dubai Mall Access","Dubai, ARE",Dubai,None,10,1,25.202456,55.280933
Maison Privee - Seaside JBR Living w/ Open Sea & Bluewaters Views,"Dubai, ARE",Dubai,None,10,1,25.08045,55.134608
Luxury Top Floor apt with Full Burj Khalifa view,"Dubai, ARE",Dubai,None,10,1,25.186857,55.282989
Newly Built Luxury Apt - Pool,"Dubai, ARE",Dubai,None,10,1,25.098042,55.37828
"Cozy,Spacious, AG tower, Business Bay, Dubai","Dubai, ARE",Dubai,None,10,1,25.179305,55.268871
Keysplease Amazing Terrace Burj View Apt Downtown Dubai,"Dubai, ARE",Dubai,None,10,1,25.18679,55.278036
Premium 2 BR in Beach Isle by PK Holidays,"Dubai, ARE",Dubai,None,10,1,25.099274,55.140742
Oraya - Chic 2BR Apt in Downtown Dubai With City Views,"Dubai, ARE",Dubai,None,10,1,25.194891,55.268966
Elite Escape Holiday Home - 2 BHK Getaway with Dubai Mall Access - 1508,"Dubai, ARE",Dubai,None,10,1,25.200933,55.280834
JRR Stays - JVC Bloom Tower B 607 Stylish Studio Sleeps 2,"Dubai, ARE",Dubai,None,10,1,25.067117,55.203426
Modern 2BR Oasis with Breathtaking Views in JBR - 12AB10,"Dubai, ARE",Dubai,None,10,1,25.081654,55.139632
"Key View - Murjan 2, JBR","Dubai, ARE",Dubai,None,10,1,25.08195,55.138949
Creek Beachfront Heaven: 1BR Luxe Harbor Flat,"Dubai, ARE",Dubai,None,10,1,25.201793,55.348923
Brand new 1 BHK in Bluewaters,"Dubai, ARE",Dubai,None,10,1,25.077987,55.121724
Luxury apartment 3 beds Marina view,"Dubai, ARE",Dubai,None,10,1,25.072388,55.132313
Luxury 2-BR Apt with Burj View,"Dubai, ARE",Dubai,None,10,1,25.192315,55.271127
GuestReady - Glamourous living in Palm Jumeirah,"Dubai, ARE",Dubai,None,10,1,25.106771,55.152469
White Sage - Base to Top of Burj Khalifa Views in this New 2BR,"Dubai, ARE",Dubai,None,10,1,25.202429,55.280933
Lux Home in Address JBR with Sea View on 61st Floor,"Dubai, ARE",Dubai,None,10,1,25.072584,55.126567
"First Class 2BD Apt in Heart of JBR, Full Sea, Ain Dubai and Palm View, Rimal Building","Dubai, ARE",Dubai,None,10,1,25.075589,55.132559
LUX The Elegant DIFC Suite,"Dubai, ARE",Dubai,None,10,1,25.212008,55.278826
Economic rooms for rent in Dubai,"Dubai, ARE",Dubai,None,10,1,25.226053,55.270009
Address Opera,"Dubai, ARE",Dubai,None,10,1,25.197684,55.271196
Luxury apartment in the Address Opera,"Dubai, ARE",Dubai,None,10,1,25.197684,55.271207
"Primestay - Address Residences 1BR, JBR","Dubai, ARE",Dubai,None,10,1,25.087425,55.146473
Colossal 2BR at MAG 218 Dubai Marina by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.087961,55.148953
FENDI Designed Unit Full Sea-View on High Floor,"Dubai, ARE",Dubai,None,10,1,25.087261,55.145625
"Stella Maris High Floor,stunning Skyline Views","Dubai, ARE",Dubai,None,10,1,25.069949,55.132489
LUXFolio Retreats - Exclusive Apartments in Palm,"Dubai, ARE",Dubai,None,10,1,25.117067,55.136428
Luxury Modern Studio I Discovery Gardens,"Dubai, ARE",Dubai,None,10,1,25.032804,55.151187
Affordable Comfort: Cozy Room with Dedicated Bath & Twin Beds,"Sharjah, ARE",Sharjah,None,10,1,25.301189,55.374106
STAY BY LATINEM Luxury 1BR Holiday Home CVR A2504 near Burj Khalifa,"Dubai, ARE",Dubai,None,10,1,25.179354,55.304135
"Modern 2 BDR Apartment, Close to Metro","Dubai, ARE",Dubai,None,10,1,25.221463,55.27234
Brand New Studio in Elite Downtown with Panoramic pool,"Dubai, ARE",Dubai,None,10,1,25.18608,55.278338
LUXFolio Retreats - Iris Blue Marina Escape,"Dubai, ARE",Dubai,None,10,1,25.085514,55.144701
GuestReady - Vida High-Floor Elegance,"Dubai, ARE",Dubai,None,10,1,25.072265,55.135856
Room with private washroom in a Villa,"Dubai, ARE",Dubai,None,10,1,24.994943,55.391832
NEW! Amazing stay in Marina with View,"Dubai, ARE",Dubai,None,10,1,25.074041,55.139105
Spectacular views of Ain Dubai on Bluewaters Island,"Dubai, ARE",Dubai,None,10,1,25.07943,55.121518
"Tranquil Corner -Souq Al Bahar,Burj Khalifa View","Dubai, ARE",Dubai,None,10,1,25.194477,55.276538
Modern Oasis: Spacious Studio Near Dubai Downtown,"Dubai, ARE",Dubai,None,10,1,25.171641,55.305463
Peaceful 4BR Penthouse with Assistant Room at Le Pont Jumeirah by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.239012,55.250393
BELLA ROSE,"Dubai, ARE",Dubai,None,10,1,25.060371,55.230335
White Sage - Brand New Apartment With Panoramic New Dubai Views,"Dubai, ARE",Dubai,None,10,1,25.02525,55.182928
"17 Icon Bay, Dubai Creek Harbour - Vacationer","Dubai, ARE",Dubai,None,10,1,25.203981,55.345733
TAMM HOMES-SAMANA GOLF AVENUE,"Dubai, ARE",Dubai,None,10,1,25.030895,55.235935
Opera Grand LUXURY 1 BR Apartment in Downtown Dubai,"Dubai, ARE",Dubai,None,10,1,25.193722,55.271226
City Walk - 2BR with Terrace - CityApartmentStay,"Dubai, ARE",Dubai,None,10,1,25.201087,55.264078
Premium 1BR at The Address Residences Dubai Marina by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,6.5,2,25.077165,55.14053
Sharja 904,"Sharjah, ARE",Sharjah,None,10,1,25.317357,55.377166
Ornate 1BR in The Address Residences Dubai Marina by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.077163,55.14053
Graceful Studio at Mesk 1 Midtown Dubai Production City by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.025005,55.183475
Business Bay Bliss 1 bedroom apartment - Suiteable,"Dubai, ARE",Dubai,None,10,1,25.187815,55.28332
Huge studio JBR dubai Marina 3 min to beach,"Dubai, ARE",Dubai,None,10,1,25.077214,55.135573
The Smart Concierge - Reehan 8,"Dubai, ARE",Dubai,None,10,1,25.189661,55.276932
Luke Stays - The Marina Torch Tower,"Dubai, ARE",Dubai,None,10,1,25.088143,55.14751
WelHome - Stylish Condo With Cityscape View in Creek Harbour,"Dubai, ARE",Dubai,None,10,1,25.206411,55.347176
B&B Hostel,"Dubai, ARE",Dubai,None,10,1,25.276433,55.329991
EasyGo - Binghatti Luna Stylish 1BR,"Dubai, ARE",Dubai,None,10,1,25.05164,55.218923
Fabulous 1BR apartment in Address Beach Resort,"Dubai, ARE",Dubai,None,10,1,25.072584,55.126567
Frank Porter - Carson A,"Dubai Marina, ARE",Dubai Marina,None,10,1,25.024129,55.242964
Executive Studio in Damac Hills by Suiteable,"Dubai, ARE",Dubai,None,10,1,25.025413,55.24446
Exclusive 2BR at Summer at Creek Beach 3 Dubai Creek Harbor by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.201048,55.34958
Golf Views in 30th Floor,"Dubai, ARE",Dubai,None,10,1,25.098035,55.157055
Lakeside Serenity Retreat with Soothing Lake Views,"Dubai, ARE",Dubai,None,10,1,25.06994,55.143878
skynest homes studio in JLT,"Dubai, ARE",Dubai,None,10,1,25.070488,55.140925
Everluxe Smart 2 Bedroom Villa In Akoya,"Dubai, ARE",Dubai,None,10,1,24.997807,55.375162
Free Private Beach 1BR Suite LA VIE JBR,"Dubai, ARE",Dubai,None,10,1,25.077264,55.134058
Best Downtown Apartment in Dubai,"Dubai, ARE",Dubai,None,10,1,25.190838,55.281336
Maison Privee - Bohemian Apt with Amazing Seafront Views on The Palm,"Dubai, ARE",Dubai,None,10,1,25.113084,55.136788
Specious cozy two bed room with full marina view,"Dubai, ARE",Dubai,None,10,1,25.071063,55.127921
"Convenient 1BR in Ahad Residences, Business Bay by Deluxe Holiday Homes","Dubai, ARE",Dubai,None,10,1,25.187184,55.266542
Primestay - Act 1 Act 2 T2 3BR - Downtown,"Dubai, ARE",Dubai,None,10,1,25.192315,55.271127
Elite Escape Holiday Home - 1 BHK Getaway with Dubai Mall Access - 1510,"Dubai, ARE",Dubai,None,10,1,25.200933,55.280834
Primestay - Bluewaters Residences - B2 in JBR,"Dubai, ARE",Dubai,None,10,1,25.079636,55.119997
StoneTree - Furnished Studio with Lake View and near Metro,"Dubai, ARE",Dubai,None,10,1,25.070172,55.141119
GuestReady - Sumptuous residence with Canal views,"Dubai, ARE",Dubai,None,10,1,25.184678,55.258748
Enchanting 1BR at The Address Residences in JBR by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.072111,55.127566
LUX Paramount Burj View Business Bay,"Dubai, ARE",Dubai,None,10,1,25.193438,55.265437
Stylish studio with Tropical fair in Dubai Marina,"Dubai, ARE",Dubai,None,10,1,25.071485,55.132115
Luxurious Studio - Free Poolgym,"Dubai, ARE",Dubai,None,8.5,2,25.098042,55.37828
Gharfar-2 Heaven Escape-Golf view-high floor-Netflix-GYM-Pool-perfect staycation,"Dubai, ARE",Dubai,None,10,1,25.02361,55.243036
Nasma Luxury Stays - Luxurious 1BR Apartment in Al Habtoor City,"Dubai, ARE",Dubai,None,10,1,25.182336,55.255697
Stunning 2BR in Maison Prive,"Dubai, ARE",Dubai,None,10,1,25.184342,55.275708
PalmBay 1BR full Burj Khalifa & The Lake View,"Dubai, ARE",Dubai,None,10,1,25.19062,55.27551
Luxurious 2 Bed Holiday Home in Marina Gate,"Dubai, ARE",Dubai,None,10,1,25.086618,55.147755
"Primestay - La Vie 2BR, JBR","Dubai, ARE",Dubai,None,10,1,25.079566,55.13468
Luxurious one-bedroom very close to Dubai Mall,"Dubai, ARE",Dubai,None,10,1,25.191675,55.280367
The Fairmont The Palm Dubai Luxurious Holiday Home - Exclusive access cards,"Dubai, ARE",Dubai,None,10,1,25.111356,55.139934
Private room with double bed- sofa and balcony fully furnished in DSO,"Dubai, ARE",Dubai,None,10,1,25.128815,55.402482
LUX The Orra Marina View Suite,"Dubai, ARE",Dubai,None,10,1,25.07054,55.133103
Burj Khalifa View - Exceptional 2 Bedroom Apartment,"Dubai, ARE",Dubai,None,10,1,25.191897,55.279935
Coastal 2BR at Sky Gardens DIFC by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,10,1,25.211711,55.282947
Manzil - 3BR in Palm Jumeirah with Private Beach Access & Sea View,"Dubai, ARE",Dubai,None,10,1,25.115944,55.140734
