branches/branchid,branches/compid,branches/longitute,branches/latitude,branches/locationtext,branches/branchatmtitletext,branches/atmbranch,branches/addresstext,branches/phoneno,branches/weekdayworkhours,branches/facilitiesavailable,branches/enableDisability,branches/disability
SDU9684,Crown-Mall-Jebel-Ali,55.1414300,24.9962100,Crown Mall Jebel Ali,Crown Mall  Jebel Ali,ATM,"Ground Floor , Crown Mall at Jebelali Ind.area-1,Dubai",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9768,crystal-mall,55.137044,24.979682,Crystal Mall,Crystal Mall,ATM,"Jabel Ali Ind 1, Street 7, Community 599 - Dubai",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9617,al-dahab-exchange-sabkha-atm,55.303645,25.268648,Al Dahab Exchange Sabkha,Al Dahab Exchange Sabkha,ATM,"Shop # 5 & 6 , Abnaa Saeed Ali Al Qaizi Building , Nasser Square, Deira Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update,,Disability friendly access
 SDU9779 ,delma-exchange-al-quoz,55.247899,25.155391,Delma Exchange Al Quoz,Delma Exchange Al Quoz,ATM,"Shop # 8 & 9 , Plot # 3580601 , Al Quoz 3",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU0299,de-montfort-university,55.41661,25.12976,De Montfort University Dubai,De Montfort University Dubai,ATM,"De Montfort Universoty Dubai Campus, Dubai Academic City",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
SCU10701,dfc-mall-ebsu-CCDM,55.3556570,25.2233100,DFC Mall EBSU - CCDM,DFC Mall EBSU- Cash Deposit ATM,ATM,"Dubai Festival City Mall, Ikea Wing, Ground Floor - Festival Blvd - Dubai , UAE",+971 4 424 4444,24/7,Cash & Cheque Deposit # Bulk Cheque Deposit #  E-statement  request # Same Day Cheque Clearance (Sat-Thu deposit before 10:00 AM) # Card / Bill Payment # Cash Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services  # EID / Passport / Visa Update,1,Disability friendly access
ITM10711,dfc-ebsu-ITM,55.355657,25.22331,DFC EBSU - ITM,DFC - Interactive Teller Machine,ATM,"Dubai Festival City , Ground floor , under the ikea showroom",+971 4 424 4444,24/7 CCDM Services |ITM services will not be available from Monday 08th April till 3rd Shawal we will resume back on 4th Shawal – Eid Mubarak,Cheque Encashment & Remote Teller Services # Cash Withdrawal # Cash / Cheque Deposit # Cheque Book Request # Card / Bill Payment # Money Transfer # Card Replacement / Activation # Mashreq Online Services # EID / Passport / Visa Update,1,Disability friendly access
 ITM7311,dic-branch-ITM,55.15837759,25.09441817,DIC Branch - ITM,DIC Branch - Interactive Teller Machine,ATM,"Plot no. A 009-010,  Al Farqad Street, Electronic Commerce &amp; Media Free Zone Authority, Sheikh Zayed Road, Dubai",+971 4 4244444,"Remote teller services : 8:00 AM to 7:00 PM (Mon-Sat), 7:30 AM to 12:30 PM and 2:30 PM to 7:00 PM (Fri) , other ATM services are accessible 24/7",Cheque Encashment & Remote Teller Services # Cash Withdrawal # Cash / Cheque Deposit # Cheque Book Request # Card / Bill Payment # Money Transfer # Card Replacement / Activation # Mashreq Online Services # EID / Passport / Visa Update,1,Disability friendly access
SKU7321,dic-branch-kiosk,55.158377590617,25.0944181743585,DIC Branch - Kiosk,DIC Branch - Service Kiosk,ATM,"Plot no. A 009-010,  Al Farqad Street, Electronic Commerce & Media Free Zone Authority, Sheikh Zayed Road",+971 4 424 4444,24/7,Instant card printing (NEW)  # Instant statement printer #Financial Summary #Bill Payments #Money transfers #Cheque Book request #PIN issuance #Card Blocking / Replacement #Mashreq Online Services #Apply for Products #Profile Update #Preference settings,1,Disability friendly access
SDU9629,dmcc-metro-station,55.139064,25.071251,DMCC Metro Station (connecting to JLT),DMCC Metro Station (connecting to JLT),ATM,"Jumeirah Lake Towers, Sheikh Zayed Road , Dubai , UAE",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SCU9791,dragon-mart-1-nakheel-office-ccdm,55.4133750,25.1731880,Dragon Mart 1 - Nakheel Office - CCDM,Dragon Mart 1 - Nakheel Office - Cash Deposit ATM,ATM,"First floor , Dragon Mart 1 complex, Nakheel office , Dubai International City, Al Awir Road",+971 4 424 4444,From 8:30AM to 5:00PM (Monday to Friday),Cash Withdrawal #Cardless cash withdrawal Cash & Cheque deposits # Financial Summary # Bill Payments # Money transfers # Cheque Book request # Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services #Apply for Products  # Profile Update # Preference settings,1,Disability friendly access
SDU9847,dubai-hills-golf-club,55.263825,25.121238,Dubai Hills Golf Club,Dubai Hills Golf Club,ATM,"Dubai Hills Estate Hospitality LLC , Al Marabea' St , Post Box Number. P.O.Box 36700 Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9619,dubai-industrial-city-labour-village-5,55.088928,24.851259,Dubai Industrial city Labour Village 5,Dubai Industrial city Labour Village 5,ATM,"Dubai Industrial City , Labor Village 5 , Saih Shuaib 3 street , Plot # 5320252 , Dubai UAE",+9714 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
SDU0058,Dubai-International-Airport,55.3600350398407,25.245297534059,"Dubai International Airport - Terminal 1, Arrivals","Dubai International Airport - Terminal 1, Arrivals",ATM,Arrival Area - T1,04-424-4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SCU2201,dubai-mall-branch-CCDM,55.279469,25.198083,Dubai Mall Branch EBSU - CCDM,Dubai Mall Branch EBSU - Cash Deposit ATM,ATM,"Unit no. LG-176, financial institution block, near Dubai Mall fountain and Aquarium, Dubai Mall, Dubai",+971 4 424 4444,10:00 AM - 11:00 PM (Sun-Wed) | 10:00 AM - 12:00 AM (Thu-Sat),Cash & Cheque Deposit # Bulk Cheque Deposit # Same Day Cheque Clearance (Sat-Thu deposit before 10:00 AM) # E-statement request # Card / Bill Payment # Cash Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # EID / Passport / Visa Update,1,Disability friendly access
ITM2211,dubai-mall-branch-ITM,55.279469,25.198083,Dubai Mall Branch EBSU - ITM,Dubai Mall Branch EBSU - Interactive Teller Machine,ATM,"Unit no. LG-176, financial institution block, near Dubai Mall fountain and Aquarium, Dubai Mall, Dubai",+971 4 424 4444,"Remote teller services : 8:00 AM to 7:00 PM (Mon-Sat), 7:30 AM to 12:30 PM and 2:30 PM to 7:00 PM (Fri) , other ATM services are accessible as per Mall hours",Cheque Encashment & Remote Teller Services # Cash Withdrawal # Cash / Cheque Deposit # Cheque Book Request # Card / Bill Payment # Money Transfer # Card Replacement / Activation # Mashreq Online Services # EID / Passport / Visa Update,1,Disability friendly access
SKU2221,dubai-mall-branch-kiosk,55.279469,25.198083,Dubai Mall Branch EBSU - Kiosk,Dubai Mall Branch EBSU - Service Kiosk,ATM,"Unit no. LG-176, financial institution block, near Dubai Mall fountain and Aquarium, Dubai Mall, Dubai",+971 4 424 4444,10:00 AM - 11:00 PM (Sun-Wed) | 10:00 AM - 12:00 AM (Thu-Sat),Financial Summary #Bill Payments #Money transfers #Cheque Book request #E-statement request #PIN issuance #Card Blocking / Replacement #Mashreq Online Services #Apply for Products #Profile Update #Preference settings,1,Disability friendly access
SDU9735,dubai-mall-food-courtlg-level,55.280085,25.196811,"Dubai Mall - Food court, LG level","Dubai Mall - Food court, LG level",ATM,"Adjacent to At The Top and food court , Dubai Mall – Lower Ground ATM 45",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9736,dubai-mall-metro-link-2nd-floor,55.27089,25.199909,"Dubai Mall - Metro Link, 2nd Floor","Dubai Mall - Metro Link, 2nd Floor",ATM,"Metro link to the Dubai Mall – SF Second Floor MLB ATM 01, UAE",+971 4 424 4444,24/7,Cash Withdrawal# Cardless cash withdrawal #Financial Summary#Utility Bill Payment#Mashreq to Mashreq Money transfer#Local Money transfer#International Money transfer#Own Account Money transfer#Configure fast cash#Address Update#Mobile number Update#Emirates ID Update#Cheque Book request#Statement request#Mini statement request#PIN change#PIN issuance#Card Blocking / Replacement#Mashreq Online Reactivation#Mashreq Online Security questions reset#Mashreq Online Registration#Mashreq Online User ID retrieval#Language setting#Receipt Setting#Cash Denomination#Apply for Products,1,Disability friendly access
SDU9648,dubai-outlet-mall,55.4006790,25.0725100,Dubai Outlet Mall,Dubai Outlet Mall,ATM,"Route 66 - Dubai - Al Ain Rd - Dubai Outlet Mall - Dubai , UAE",+971 4 424 4444,10AM-10PM,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU0217,dubai-uso,55.060515,25.013556,Dubai - Uso,Dubai - Uso,ATM,"Gate #4, JAFZA ,912th Steet",+9714-424-4444,,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9958,dubai-uso-atm-2,55.050546,24.97921,Dubai - USO ATM 2,Dubai - USO ATM 2,ATM,"Gate #4, 912Th St",+971 4 4244444,,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU0083,dubai-world-trade-center,55.2886704745003,25.2273003515163,Dubai World Trade Center,Dubai World Trade Center,ATM,Sheik Zayed Road - World Trade Center - Concourse A,+9714-424-4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9856,dubai-world-trade-center-concourse-1,55.288753,25.227238,Dubai World Trade Center – Concourse 1,Dubai World Trade Center – Concourse 1,ATM,"Sheik Zayed Road - World Trade Center - main concourse, which is concourse 1, next to hall 2",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9981,duty-free-dubai-airport-concourse-dt1,55.346828,25.256554,"Duty Free Dubai Airport - Concourse D, T1","Duty Free Dubai Airport - Concourse D, T1",ATM,"Dubai International Airport - Terminal 1 Departures, Concourse D outside Duty Free Concourse",+971 4 4244444,24/7,"#Cash Withdrawals, AED,USD, EUR # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings",1,Disability friendly access
SDU9917,Emirates-Financial-Towers-DIFC-MAG-Group,55.2776295,25.2092669,Emirates Financial Towers (DIFC) MAG Group,Emirates Financial Towers (DIFC) MAG Group,ATM,"119 Sheikh Zayed Rd, ground floor near the lift reception area",+971 4 4244444,,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9900,everfine-supermarket,55.331137,25.274174,Everfine Supermarket ,Everfine Supermarket ,ATM,"Hor Al Anz , Deira Dubai UAE - back side to Calicut notebook restaurant",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9654,expo-mall-jebel-ali,55.1396790,24.9866640,Expo Mall - Jebel Ali,Expo Mall - Jebel Ali,ATM,"Jebel Ali Industrial Area-1,Behind jebel Ali police station  Dubai, U.A.E",04-4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9881,fardan-exchange-intl-city,55.4089490,25.1681890,Fardan Exchange International City,Fardan Exchange International City,ATM,"Muhammad Ali Building - Shop No. 2 - Dubai , International City Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
SDU9826,fardan-exchange-onyx-tower-szr,55.168589,25.097165,Fardan Exchange - Onyx tower SZR,Fardan Exchange - Onyx tower SZR,ATM,"Ground floor , Onyx tower , Sheik Zayad Road , Duabi UAE",+9714 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
SCU9812,first-avenue-mall-ccdm,55.243501,25.054226,First Avenue Mall - CCDM,First Avenue Mall - Cash Deposit ATM,ATM,"Ground floor, First Avenue Mall, Motor City",+971 4 424 4444,24/7,Cash Withdrawal #Cardless cash withdrawal #Cash & Cheque deposits # Financial Summary # Bill Payments # Money transfers # Cheque Book request # Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services #Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9818,five-hotel-jumeirah-village-cirlce,55.20706,25.054382,Five Hotel Jumeirah Village Cirlce,Five Hotel Jumeirah Village Cirlce,ATM,"PO Box 118561 , Street 1, District 14 , Bijada Boulevard South , Jumeirah Village Circle - Dubai, UAE",+971 4 424 4444,24/7,Cash Withdrawal#Cardless cash withdrawal#Financial Summary#Bill Payments#Money transfers#Cheque Book request# Statement request#PIN issuance#Card Blocking / Replacement#Mashreq Online Services#Apply for Products#Profile Update#Preference settings,1,Disability friendly access
SCU0294,gold-centre-ccdm,55.297647,25.271246,Gold Centre - CCDM,Gold Centre - Cash Deposit ATM,ATM,"Gold Souk, Naif, Deira",+971 4 4244444,24/7,Cash Withdrawal #Cardless cash withdrawal Cash & Cheque deposits # Financial Summary # Bill Payments # Money transfers # Cheque Book request # Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services #Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9611,Grand Cosmopolitan hotel,55.1928000,25.113163,Grand Cosmopolitan hotel,Grand Cosmopolitan hotel,ATM,"PO Box 38250 , Al Barsha Dubai UAE",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update #Disability friendly access,1,Disability friendly access
SDU9755,grandiose-storeal-barsha,55.194954,25.111691,"Grandiose Store, Al Barsha","Grandiose Store, Al Barsha",ATM,"Plot # 373-0390,Trio Building – Al Barsha ,Dubai",+971 4 424 4444,24/7,Cash Withdrawal# Cardless cash withdrawal #Financial Summary#Utility Bill Payment#Mashreq to Mashreq Money transfer#Local Money transfer#International Money transfer#Own Account Money transfer#Configure fast cash#Address Update#Mobile number Update#Emirates ID Update#Cheque Book request#Statement request#Mini statement request#PIN change#PIN issuance# Card Blocking / Replacement#Mashreq Online Reactivation#Mashreq Online Security questions reset#Mashreq Online Registration#Mashreq Online User ID retrieval#Language setting#Receipt Setting#Cash Denomination#Apply for Products,,Disability friendly access
SDU9754,grand-millennium-hotelbusiness-bay,55.274003,25.183186,United Arab Emirates,"Grand Millennium Hotel, Business Bay",ATM,"Al Abraj St, P.O. Box 98678, Business Bay",+971 4 424 4444,24/7,Cash Withdrawal# Cardless cash withdrawal #Financial Summary#Utility Bill Payment#Mashreq to Mashreq Money transfer#Local Money transfer#International Money transfer#Own Account Money transfer#Configure fast cash#Address Update#Mobile number Update#Emirates ID Update#KCheque Book request#Statement request#Mini statement request#PIN change#PIN issuance# Card Blocking / Replacement#Mashreq Online Reactivation#Mashreq Online Security questions reset#Mashreq Online Registration#Mashreq Online User ID retrieval#Language setting#Receipt Setting#Cash Denomination#Apply for Products,1,Disability friendly access
SDU9920,Grand-Millennium-Hotel-Dubai,55.1773657,25.1012907,"Grand Millennium Hotel, DUBAI","Grand Millennium Hotel, DUBAI ",ATM,"Al Barsha 1, Shaik Zayed Road - Tecom Media city",+971 4 4244444,24/7,#Cash Withdrawal#Cardless Cash Withdrawal#Credit Card Payment Via Account#Money Transfer#Utility Bill Payment#Emirates ID Registration / Update#Address UpdateCard Block/Replace#Financial Summary#Mobile Number Update#Pin Change#Request Statement#Mini Statement#Cheque Book Request#Apply For Product#Update Personal Settings#MOL Registration#MOL User ID retrieval #MOL Reactivation #PIN Issuance,1,Disability friendly access
SDU0295,habtoor-business-towers,55.14255,25.0855,Habtoor Business Towers,Habtoor Business Towers,ATM,"Jumeirah Beach Residence, Opp. Grand Habtoor Hotel",+971 4 4244444,,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU9767,hilton-garden-inn-dubai-al-jadaf,55.33101,25.222635,Hilton Garden Inn Dubai Al Jadaf ,Hilton Garden Inn Dubai Al Jadaf ,ATM,"Hilton Garden Inn Dubai Al Jadaf Culture Village, Al Jadaf",+971 4 424 4444,Temporarily Closed,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU0194,Holiday-Inn-Al-Barsha,55.194002,25.116541,"Holiday Inn, Al Barsha","Holiday Inn, Al Barsha",ATM,"Sheikh Zayed Road, Al Barsha 1، Near Mall of The Emirates",+9714 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9747,holiday-inndubai-festival-city,55.356101,25.224881,"Holiday Inn, Dubai Festival City","Holiday Inn, Dubai Festival City",ATM,"Al Rebbat Street, PO Box 45777, Dubai",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU0163,holiday-inn-express-airport-road,55.359034538269,25.242134022204,"Holiday Inn Express, Airport Road","Holiday Inn Express, Airport Road",ATM,"OPPO DUBAI INT'L AIRPORT TERMINAL 3; PO BOX 35257, UMM RAMOOLDUBAI Hotel Front Desk: 971-4-2900111",+9714 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9869,hyatt-place-hotel,55.327653,25.262965,Hyatt Place hotel,Hyatt Place hotel,ATM,"Al Rigga Road Near Rigga Metro Station , Dubai UAE",+9714 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9607,hyatt-place-jumeirah,55.327653,25.262965,Hyatt Place Jumeirah,Hyatt Place Jumeirah,ATM,"Al Mina Road , PO Box 31075 ",+9714 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9784,ibis-hotel-dragon-mart,55.419343,25.174358,Ibis hotel Dragon mart,Ibis hotel Dragon mart,ATM,"International city , next to Dragon Mart - PO 68278 , Al Awir Road , E44 on Hatta road",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9732,intercontinental-hotel,55.349924,25.22354,Intercontinental Hotel,Intercontinental Hotel,ATM,Dubai Festival City,+9714 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SCU9840,jafza-food-court-ccdm,55.090605,24.987077,Jafza Food Court - CCDM,Jafza Food Court - Cash Deposit ATM,ATM,"Jebel Ali Freezone (jafza) Food court , next to Jafza Building # 14  - Dubai",+9714 424 4444,,Cash Withdrawal #Cardless cash withdrawal Cash & Cheque deposits # Financial Summary # Bill Payments # Money transfers # Cheque Book request # Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services #Apply for Products# Profile Update # Preference settings,,Disability friendly access
SDU9844,ja-lake-view-hotel,55.026455,24.980709,JA Lake View Hotel,JA Lake View Hotel,ATM,"Jebel Ali Area , Exit No.13 , Gate # 8 ,Sheik Zayed Road , Dubai UAE",+9714 424 4444,Temporarily Closed,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products  # Profile Update # Preference settings,1,Disability friendly access
SDU9980,jebel-ali-mall,55.106029,25.007136,Jebel Ali Mall ,Jebel Ali Mall,ATM,Jebel Ali Industrial Area,+9714 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9979,jumeira-creek-side-hotel,55.340881,25.242957,Jumeira Creek Side Hotel,Jumeira Creek Side Hotel,ATM,"Garhoud, near Irish Village and Emirates Aviation and Dubai Tennis Stadium",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,1,Disability friendly access
SDU9892,jumeirah-al-qasr,55.184811,25.132551,Jumeirah Al Qasr,Jumeirah Al Qasr,ATM,Madinat Jumeirah King Salman bin Abdulaziz Al Saud Street Umm Suqeim - Dubai UAE,+971 4 424 4444,Temporarily Closed,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9712,jw-marriott-marquis-1,55.258121,25.185606,JW Marriott Marquis 1,JW Marriott Marquis 1,ATM,"Sheikh Zayed Road, Business Bay - Dubai",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9713,JW Marriott Marquis 2,55.258121,25.185606,JW Marriott Marquis 2,JW Marriott Marquis 2,ATM,"Sheikh Zayed Road, Business Bay - Dubai",+971 4 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update,1,Disability friendly access
SDU9794,le-méridien-garhoud,55.346815,25.2491,"Le Meridien , Garhoud ","Le Meridien , Garhoud ",ATM,"Airport Road , Al Garhoud Dubai - PO Box number 10001",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU9783,le-méridien-mina-seyahi-beach-resort-and-marina,55.147619,25.091333,Le Meridien Mina Seyahi Beach Resort & Marina,Le Meridien Mina Seyahi Beach Resort & Marina,ATM,King Salman Bin Abdul Aziz Al Saud Street -Dubai UAE,+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU0185,lifco-sh-zayed-road,55.278667,25.216806,"Lifco Supermarket, Sheikh Zayed Road","Lifco Supermarket, Sheikh Zayed Road",ATM,Sheikh Zayed Road - Near Crowne Plaza Hotel,+9714 4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
SDU9864,madina-hypermarket-3-sonapur,55.415535,25.266056,Madina Hypermarket 3 - Sonapur,Madina Hypermarket 3 - Sonapur,ATM,"Muhaisnah 2 , sonapur ,near to Medical fitness center , Dubai UAE",+971 4 424 4444,,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings,,Disability friendly access
